_state,id,researcher_id,experiment_id,participant_id,trial_num,item_id,item,response,timelimit,word_count,task_type,time_per_trial,left_page,created_at,item_unified,response_unified,google_creativity,anthropic_creativity,xai_creativity,kimi_creativity,mistral_creativity
<django.db.models.base.ModelState object at 0x7f23c3d028c0>,56096,rebeaty,7H4H7DwVobsViprPNEB4jm,5a381de00006450001bf2691,48,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,size limits on cars,Submitted,4,Design Problems,120,0,2026-01-07 16:15:52.260624+00:00,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,size limits on cars,20.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3d02950>,56097,rebeaty,7H4H7DwVobsViprPNEB4jm,5a381de00006450001bf2691,49,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,rewards for going car free,Submitted,5,Design Problems,120,0,2026-01-07 16:15:52.263966+00:00,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,rewards for going car free,20.0,28.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3d029e0>,56098,rebeaty,7H4H7DwVobsViprPNEB4jm,5a381de00006450001bf2691,50,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,Make WFH the standard,Submitted,4,Design Problems,120,0,2026-01-07 16:15:52.267180+00:00,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,Make WFH the standard,20.0,28.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3d031c0>,56112,rebeaty,7H4H7DwVobsViprPNEB4jm,5fd66ce8aec66457ff73d743,23,dp-2,Develop as many design ideas as you can to increase the use of renewable energy sources.,more renewable energy such as wind and solar and let people have it free so everyone can do it,Submitted,19,Design Problems,120,0,2026-01-07 16:16:49.369548+00:00,Develop as many design ideas as you can to increase the use of renewable energy sources.,more renewable energy such as wind and solar and let people have it free so everyone can do it,10.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3d03250>,56113,rebeaty,7H4H7DwVobsViprPNEB4jm,5fd66ce8aec66457ff73d743,24,dp-2,Develop as many design ideas as you can to increase the use of renewable energy sources.,make it completely affordable for people to obtain solar,Submitted,9,Design Problems,120,0,2026-01-07 16:16:49.372927+00:00,Develop as many design ideas as you can to increase the use of renewable energy sources.,make it completely affordable for people to obtain solar,15.0,18.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3d039a0>,56126,rebeaty,7H4H7DwVobsViprPNEB4jm,5cab22cd68194f001511b2d6,54,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,Make cars pay more to drive in cities,Submitted,8,Design Problems,120,0,2026-01-07 16:17:12.340166+00:00,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,Make cars pay more to drive in cities,15.0,18.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3d03a30>,56127,rebeaty,7H4H7DwVobsViprPNEB4jm,5cab22cd68194f001511b2d6,55,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,improve public transport,Submitted,3,Design Problems,120,0,2026-01-07 16:17:12.343375+00:00,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,improve public transport,10.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3d03ac0>,56128,rebeaty,7H4H7DwVobsViprPNEB4jm,5cab22cd68194f001511b2d6,56,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,make public transport more affordable,Submitted,5,Design Problems,120,0,2026-01-07 16:17:12.346387+00:00,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,make public transport more affordable,15.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f23c3d03b50>,56129,rebeaty,7H4H7DwVobsViprPNEB4jm,5cab22cd68194f001511b2d6,57,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,free bikes and scooters to borrow,Submitted,6,Design Problems,120,0,2026-01-07 16:17:12.350054+00:00,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,free bikes and scooters to borrow,20.0,22.0,20.0,,
<django.db.models.base.ModelState object at 0x7f23c3d03be0>,56130,rebeaty,7H4H7DwVobsViprPNEB4jm,5cab22cd68194f001511b2d6,58,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,male some areas only for pedestrians,Submitted,6,Design Problems,120,0,2026-01-07 16:17:12.353005+00:00,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,male some areas only for pedestrians,15.0,18.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ec885b0>,56147,rebeaty,7H4H7DwVobsViprPNEB4jm,5a381de00006450001bf2691,52,dp-10,Develop as many design ideas as you can to improve access to clean water in remote areas.,build roman style aqueducts,Submitted,4,Design Problems,120,0,2026-01-07 16:17:57.788639+00:00,Develop as many design ideas as you can to improve access to clean water in remote areas.,build roman style aqueducts,20.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ec88640>,56148,rebeaty,7H4H7DwVobsViprPNEB4jm,5a381de00006450001bf2691,53,dp-10,Develop as many design ideas as you can to improve access to clean water in remote areas.,seed the atmosphere nearby so it rains more,Submitted,8,Design Problems,120,0,2026-01-07 16:17:57.792060+00:00,Develop as many design ideas as you can to improve access to clean water in remote areas.,seed the atmosphere nearby so it rains more,25.0,15.0,25.0,,
<django.db.models.base.ModelState object at 0x7f236ec89330>,56171,rebeaty,7H4H7DwVobsViprPNEB4jm,5fd66ce8aec66457ff73d743,26,dp-8,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,corkboards with lots of notes,Submitted,5,Design Problems,120,0,2026-01-07 16:18:53.942444+00:00,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,corkboards with lots of notes,10.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ec893c0>,56172,rebeaty,7H4H7DwVobsViprPNEB4jm,5fd66ce8aec66457ff73d743,27,dp-8,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,make a medication to help with memory,Submitted,7,Design Problems,120,0,2026-01-07 16:18:53.944123+00:00,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,make a medication to help with memory,10.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ec89450>,56173,rebeaty,7H4H7DwVobsViprPNEB4jm,5fd66ce8aec66457ff73d743,28,dp-8,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,constantly read to them,Submitted,4,Design Problems,120,0,2026-01-07 16:18:53.947169+00:00,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,constantly read to them,10.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ec894e0>,56174,rebeaty,7H4H7DwVobsViprPNEB4jm,5fd66ce8aec66457ff73d743,29,dp-8,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,keep them lively and in motion,Submitted,6,Design Problems,120,0,2026-01-07 16:18:53.949702+00:00,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,keep them lively and in motion,15.0,28.0,42.0,,
<django.db.models.base.ModelState object at 0x7f236ec89570>,56175,rebeaty,7H4H7DwVobsViprPNEB4jm,5fd66ce8aec66457ff73d743,30,dp-8,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,feed them foods to improve memory,Submitted,6,Design Problems,120,0,2026-01-07 16:18:53.951282+00:00,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,feed them foods to improve memory,15.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ec8b220>,56226,rebeaty,7H4H7DwVobsViprPNEB4jm,5fd66ce8aec66457ff73d743,32,dp-10,Develop as many design ideas as you can to improve access to clean water in remote areas.,dig for wells,Submitted,3,Design Problems,120,0,2026-01-07 16:20:58.046554+00:00,Develop as many design ideas as you can to improve access to clean water in remote areas.,dig for wells,10.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ec8b2b0>,56227,rebeaty,7H4H7DwVobsViprPNEB4jm,5fd66ce8aec66457ff73d743,33,dp-10,Develop as many design ideas as you can to improve access to clean water in remote areas.,build a big plant so they can purify the water,Submitted,10,Design Problems,120,0,2026-01-07 16:20:58.050213+00:00,Develop as many design ideas as you can to improve access to clean water in remote areas.,build a big plant so they can purify the water,10.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ec3cfa0>,56278,rebeaty,7H4H7DwVobsViprPNEB4jm,5fd66ce8aec66457ff73d743,35,dp-6,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,build ramps,Submitted,2,Design Problems,120,0,2026-01-07 16:23:02.019363+00:00,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,build ramps,10.0,12.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ec3d030>,56279,rebeaty,7H4H7DwVobsViprPNEB4jm,5fd66ce8aec66457ff73d743,36,dp-6,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,build a chair that attaches to the handrails and they can ride up or down,Submitted,15,Design Problems,120,0,2026-01-07 16:23:02.022926+00:00,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,build a chair that attaches to the handrails and they can ride up or down,20.0,28.0,25.0,,
<django.db.models.base.ModelState object at 0x7f236ec3d0c0>,56280,rebeaty,7H4H7DwVobsViprPNEB4jm,5fd66ce8aec66457ff73d743,37,dp-6,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,help them to exercise to be more mobile,Submitted,8,Design Problems,120,0,2026-01-07 16:23:02.025939+00:00,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,help them to exercise to be more mobile,10.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ec3d150>,56281,rebeaty,7H4H7DwVobsViprPNEB4jm,5fd66ce8aec66457ff73d743,38,dp-6,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,water aerobics may help,Submitted,4,Design Problems,120,0,2026-01-07 16:23:02.029372+00:00,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,water aerobics may help,10.0,12.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ec08f70>,56391,rebeaty,7H4H7DwVobsViprPNEB4jm,5dd7f591ad0a617838322129,48,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,replace four way stops with roundabouts (traffic circles),Submitted,8,Design Problems,120,0,2026-01-07 16:28:40.590836+00:00,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,replace four way stops with roundabouts (traffic circles),15.0,18.0,20.0,,
<django.db.models.base.ModelState object at 0x7f236ec09000>,56392,rebeaty,7H4H7DwVobsViprPNEB4jm,5dd7f591ad0a617838322129,49,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,link up the traffic lights to allow for continuous movement on green along busiest routes,Submitted,15,Design Problems,120,0,2026-01-07 16:28:40.593757+00:00,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,link up the traffic lights to allow for continuous movement on green along busiest routes,15.0,22.0,25.0,,
<django.db.models.base.ModelState object at 0x7f236ec09090>,56393,rebeaty,7H4H7DwVobsViprPNEB4jm,5dd7f591ad0a617838322129,50,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,bus and cycle infrastructure to reduce reliance on private motor vehicles,Submitted,11,Design Problems,120,0,2026-01-07 16:28:40.596552+00:00,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,bus and cycle infrastructure to reduce reliance on private motor vehicles,15.0,18.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ec09120>,56394,rebeaty,7H4H7DwVobsViprPNEB4jm,5dd7f591ad0a617838322129,51,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,free or subsidised public transport,Submitted,5,Design Problems,120,0,2026-01-07 16:28:40.599593+00:00,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,free or subsidised public transport,15.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ec091b0>,56395,rebeaty,7H4H7DwVobsViprPNEB4jm,5dd7f591ad0a617838322129,52,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,enable multi-modal travel routes,Submitted,5,Design Problems,120,0,2026-01-07 16:28:40.602408+00:00,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,enable multi-modal travel routes,20.0,22.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ec09990>,56409,rebeaty,7H4H7DwVobsViprPNEB4jm,631745a70c7c585248df1a5d,1,dp-2,Develop as many design ideas as you can to increase the use of renewable energy sources.,wind turbines,Submitted,2,Design Problems,120,0,2026-01-07 16:29:31.317654+00:00,Develop as many design ideas as you can to increase the use of renewable energy sources.,wind turbines,10.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ec09a20>,56410,rebeaty,7H4H7DwVobsViprPNEB4jm,631745a70c7c585248df1a5d,2,dp-2,Develop as many design ideas as you can to increase the use of renewable energy sources.,solar panels on every new house,Submitted,6,Design Problems,120,0,2026-01-07 16:29:31.321283+00:00,Develop as many design ideas as you can to increase the use of renewable energy sources.,solar panels on every new house,15.0,18.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ec09ab0>,56411,rebeaty,7H4H7DwVobsViprPNEB4jm,631745a70c7c585248df1a5d,3,dp-2,Develop as many design ideas as you can to increase the use of renewable energy sources.,solar panels on battery vehicles,Submitted,5,Design Problems,120,0,2026-01-07 16:29:31.325128+00:00,Develop as many design ideas as you can to increase the use of renewable energy sources.,solar panels on battery vehicles,20.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ec09b40>,56412,rebeaty,7H4H7DwVobsViprPNEB4jm,631745a70c7c585248df1a5d,4,dp-2,Develop as many design ideas as you can to increase the use of renewable energy sources.,wind turbines on hills,Submitted,4,Design Problems,120,0,2026-01-07 16:29:31.329582+00:00,Develop as many design ideas as you can to increase the use of renewable energy sources.,wind turbines on hills,10.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ec09e10>,56417,rebeaty,7H4H7DwVobsViprPNEB4jm,654a44f0addb5f41f1705b75,1,dp-8,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,"An app that create both text and visual images of what people are trying to remember, once prompted. A digital board that could function as flash cards or other display to help active recall.",Time Limit Hit,34,Design Problems,120,0,2026-01-07 16:29:44.683536+00:00,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,"An app that create both text and visual images of what people are trying to remember, once prompted. A digital board that could function as flash cards or other display to help active recall.",20.0,28.0,25.0,,
<django.db.models.base.ModelState object at 0x7f236ec0a830>,56435,rebeaty,7H4H7DwVobsViprPNEB4jm,5dd7f591ad0a617838322129,54,dp-2,Develop as many design ideas as you can to increase the use of renewable energy sources.,tax breaks for solar/heat pump/etc. installation,Submitted,8,Design Problems,120,0,2026-01-07 16:30:46.350309+00:00,Develop as many design ideas as you can to increase the use of renewable energy sources.,tax breaks for solar/heat pump/etc. installation,15.0,18.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ec0a8c0>,56436,rebeaty,7H4H7DwVobsViprPNEB4jm,5dd7f591ad0a617838322129,55,dp-2,Develop as many design ideas as you can to increase the use of renewable energy sources.,local mandates for new builds to include renewable measures,Submitted,9,Design Problems,120,0,2026-01-07 16:30:46.353140+00:00,Develop as many design ideas as you can to increase the use of renewable energy sources.,local mandates for new builds to include renewable measures,20.0,18.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ec0a950>,56437,rebeaty,7H4H7DwVobsViprPNEB4jm,5dd7f591ad0a617838322129,56,dp-2,Develop as many design ideas as you can to increase the use of renewable energy sources.,financial disincentives for non-renewable energy,Submitted,6,Design Problems,120,0,2026-01-07 16:30:46.356088+00:00,Develop as many design ideas as you can to increase the use of renewable energy sources.,financial disincentives for non-renewable energy,15.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ec0a9e0>,56438,rebeaty,7H4H7DwVobsViprPNEB4jm,5dd7f591ad0a617838322129,57,dp-2,Develop as many design ideas as you can to increase the use of renewable energy sources.,"expedited ""red-tape"" applications for preferred renewable projects",Submitted,8,Design Problems,120,0,2026-01-07 16:30:46.358963+00:00,Develop as many design ideas as you can to increase the use of renewable energy sources.,"expedited ""red-tape"" applications for preferred renewable projects",20.0,22.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ec0aa70>,56439,rebeaty,7H4H7DwVobsViprPNEB4jm,5dd7f591ad0a617838322129,58,dp-2,Develop as many design ideas as you can to increase the use of renewable energy sources.,install more electric vehicle charging points,Submitted,6,Design Problems,120,0,2026-01-07 16:30:46.361710+00:00,Develop as many design ideas as you can to increase the use of renewable energy sources.,install more electric vehicle charging points,15.0,18.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ec0ab00>,56440,rebeaty,7H4H7DwVobsViprPNEB4jm,5dd7f591ad0a617838322129,59,dp-2,Develop as many design ideas as you can to increase the use of renewable energy sources.,public owned electric bike/scooter network,Submitted,6,Design Problems,120,0,2026-01-07 16:30:46.364424+00:00,Develop as many design ideas as you can to increase the use of renewable energy sources.,public owned electric bike/scooter network,20.0,28.0,25.0,,
<django.db.models.base.ModelState object at 0x7f236ec0aef0>,56447,rebeaty,7H4H7DwVobsViprPNEB4jm,631745a70c7c585248df1a5d,6,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,more bus lanes,Submitted,3,Design Problems,120,0,2026-01-07 16:31:40.102038+00:00,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,more bus lanes,15.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ec0af80>,56448,rebeaty,7H4H7DwVobsViprPNEB4jm,631745a70c7c585248df1a5d,7,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,more underground roads,Submitted,3,Design Problems,120,0,2026-01-07 16:31:40.105489+00:00,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,more underground roads,15.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ec0b010>,56449,rebeaty,7H4H7DwVobsViprPNEB4jm,631745a70c7c585248df1a5d,8,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,enhanced public transport,Submitted,3,Design Problems,120,0,2026-01-07 16:31:40.108737+00:00,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,enhanced public transport,10.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ec0b0a0>,56450,rebeaty,7H4H7DwVobsViprPNEB4jm,631745a70c7c585248df1a5d,9,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,car free zones,Submitted,3,Design Problems,120,0,2026-01-07 16:31:40.112910+00:00,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,car free zones,15.0,22.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ec0ba30>,56467,rebeaty,7H4H7DwVobsViprPNEB4jm,654a44f0addb5f41f1705b75,2,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,A policy to determine what vehiocles travel on a given day. A policy that incentivise ride sharing or make it really attractive. City expansions to include more roads and infrastructures,Time Limit Hit,30,Design Problems,120,0,2026-01-07 16:32:18.958451+00:00,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,A policy to determine what vehiocles travel on a given day. A policy that incentivise ride sharing or make it really attractive. City expansions to include more roads and infrastructures,15.0,18.0,15.0,,
<django.db.models.base.ModelState object at 0x7f236ec0bbe0>,56470,rebeaty,7H4H7DwVobsViprPNEB4jm,5dd7f591ad0a617838322129,61,dp-8,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,free or subsidised care plans/treatment,Submitted,6,Design Problems,120,0,2026-01-07 16:32:51.073766+00:00,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,free or subsidised care plans/treatment,10.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ec0bc70>,56471,rebeaty,7H4H7DwVobsViprPNEB4jm,5dd7f591ad0a617838322129,62,dp-8,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,timed repetition flashcard tool/app for memory practise,Submitted,8,Design Problems,120,0,2026-01-07 16:32:51.075589+00:00,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,timed repetition flashcard tool/app for memory practise,20.0,22.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ec0bd00>,56472,rebeaty,7H4H7DwVobsViprPNEB4jm,5dd7f591ad0a617838322129,63,dp-8,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,research grants for interventions,Submitted,4,Design Problems,120,0,2026-01-07 16:32:51.077288+00:00,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,research grants for interventions,10.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ec0bd90>,56473,rebeaty,7H4H7DwVobsViprPNEB4jm,5dd7f591ad0a617838322129,64,dp-8,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,training for carers around the issue to help people already suffering,Submitted,11,Design Problems,120,0,2026-01-07 16:32:51.078758+00:00,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,training for carers around the issue to help people already suffering,15.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ec0be20>,56474,rebeaty,7H4H7DwVobsViprPNEB4jm,5dd7f591ad0a617838322129,65,dp-8,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,text/email/alert reminders from family or friends,Submitted,8,Design Problems,120,0,2026-01-07 16:32:51.080113+00:00,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,text/email/alert reminders from family or friends,15.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ecf4400>,56484,rebeaty,7H4H7DwVobsViprPNEB4jm,631745a70c7c585248df1a5d,11,dp-8,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,teach them to make use of smart devices,Submitted,8,Design Problems,120,0,2026-01-07 16:33:58.481276+00:00,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,teach them to make use of smart devices,10.0,18.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ecf4490>,56485,rebeaty,7H4H7DwVobsViprPNEB4jm,631745a70c7c585248df1a5d,12,dp-8,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,work with them on memory training tasks,Submitted,7,Design Problems,120,0,2026-01-07 16:33:58.484871+00:00,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,work with them on memory training tasks,10.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ecf4760>,56490,rebeaty,7H4H7DwVobsViprPNEB4jm,66b828d453598bcca42608c1,40,dp-10,Develop as many design ideas as you can to improve access to clean water in remote areas.,"Desalinization of nearby seawater, if the remote location is an island.",Submitted,11,Design Problems,120,0,2026-01-07 16:34:10.672470+00:00,Develop as many design ideas as you can to improve access to clean water in remote areas.,"Desalinization of nearby seawater, if the remote location is an island.",15.0,22.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ecf47f0>,56491,rebeaty,7H4H7DwVobsViprPNEB4jm,66b828d453598bcca42608c1,41,dp-10,Develop as many design ideas as you can to improve access to clean water in remote areas.,Drill wells to fresh water that might be below the area.,Submitted,11,Design Problems,120,0,2026-01-07 16:34:10.674360+00:00,Develop as many design ideas as you can to improve access to clean water in remote areas.,Drill wells to fresh water that might be below the area.,10.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ecf4880>,56492,rebeaty,7H4H7DwVobsViprPNEB4jm,66b828d453598bcca42608c1,42,dp-10,Develop as many design ideas as you can to improve access to clean water in remote areas.,Build a water treatment plant for water to be sanitized and reused.,Submitted,12,Design Problems,120,0,2026-01-07 16:34:10.675983+00:00,Develop as many design ideas as you can to improve access to clean water in remote areas.,Build a water treatment plant for water to be sanitized and reused.,10.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ecf4910>,56493,rebeaty,7H4H7DwVobsViprPNEB4jm,66b828d453598bcca42608c1,43,dp-10,Develop as many design ideas as you can to improve access to clean water in remote areas.,Educate inhabitants about pollution and not contaminating their existing supply of fresh water.,Submitted,13,Design Problems,120,0,2026-01-07 16:34:10.677443+00:00,Develop as many design ideas as you can to improve access to clean water in remote areas.,Educate inhabitants about pollution and not contaminating their existing supply of fresh water.,15.0,18.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ecf4d00>,56500,rebeaty,7H4H7DwVobsViprPNEB4jm,654a44f0addb5f41f1705b75,3,dp-6,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,Cheap house stairs that function like escalators with a seat. Robot-like suit that supports human skeletal structure.,Time Limit Hit,18,Design Problems,120,0,2026-01-07 16:34:40.310707+00:00,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,Cheap house stairs that function like escalators with a seat. Robot-like suit that supports human skeletal structure.,20.0,38.0,25.0,,
<django.db.models.base.ModelState object at 0x7f236ecf4d90>,56501,rebeaty,7H4H7DwVobsViprPNEB4jm,5dd7f591ad0a617838322129,67,dp-6,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,stairlift installation,Submitted,2,Design Problems,120,0,2026-01-07 16:34:53.914569+00:00,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,stairlift installation,10.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ecf4e20>,56502,rebeaty,7H4H7DwVobsViprPNEB4jm,5dd7f591ad0a617838322129,68,dp-6,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,mandatory double handrails,Submitted,3,Design Problems,120,0,2026-01-07 16:34:53.917226+00:00,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,mandatory double handrails,10.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ecf4eb0>,56503,rebeaty,7H4H7DwVobsViprPNEB4jm,5dd7f591ad0a617838322129,69,dp-6,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,wider and shallower stairs as standard,Submitted,6,Design Problems,120,0,2026-01-07 16:34:53.919696+00:00,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,wider and shallower stairs as standard,15.0,18.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ecf4f40>,56504,rebeaty,7H4H7DwVobsViprPNEB4jm,5dd7f591ad0a617838322129,70,dp-6,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,alternative options i.e. elevator for mobility impaired visitors,Submitted,9,Design Problems,120,0,2026-01-07 16:34:53.922117+00:00,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,alternative options i.e. elevator for mobility impaired visitors,10.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ecf4fd0>,56505,rebeaty,7H4H7DwVobsViprPNEB4jm,5dd7f591ad0a617838322129,71,dp-6,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,accessibility grants for private businesses to help cater to mobility impaired customers,Submitted,12,Design Problems,120,0,2026-01-07 16:34:53.924675+00:00,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,accessibility grants for private businesses to help cater to mobility impaired customers,15.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ecf5060>,56506,rebeaty,7H4H7DwVobsViprPNEB4jm,5dd7f591ad0a617838322129,72,dp-6,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,accessibility standards for public buildings,Submitted,5,Design Problems,120,0,2026-01-07 16:34:53.927476+00:00,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,accessibility standards for public buildings,10.0,15.0,10.0,,
<django.db.models.base.ModelState object at 0x7f236ecf50f0>,56507,rebeaty,7H4H7DwVobsViprPNEB4jm,5dd7f591ad0a617838322129,73,dp-6,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,improved surfacing to help with grip and slips,Submitted,8,Design Problems,120,0,2026-01-07 16:34:53.930500+00:00,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,improved surfacing to help with grip and slips,15.0,18.0,10.0,,
